Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Picharillo C., Ranieri V.E.L.","57203395249;16242391900;","Payment for environmental services: Guidelines for identifying priority areas focusing on biodiversity",2019,"Ambiente e Sociedade","22",,"e03033","","",,1,"10.1590/1809-4422ASOC201703033VU2019L3AO","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082795875&doi=10.1590%2f1809-4422ASOC201703033VU2019L3AO&partnerID=40&md5=205e57ef6da9d3c0ccf33460b960ab44","Environmental Engineering Sciences, University of São Paulo (EESC/USP), Brazil; University of São Paulo, Hydraulic Engineering and Sanitation, Brazil","Picharillo, C., Environmental Engineering Sciences, University of São Paulo (EESC/USP), Brazil; Ranieri, V.E.L., University of São Paulo, Hydraulic Engineering and Sanitation, Brazil","The economic tool of Payment for Environmental Services (PES) has been considered as an alternative for the conservation of the biodiversity and ecosystem services in private lands. To guide decision makers in implementing PES schemes, this paper aimed to identify in the scientific literature the important elements to prioritize areas in the implementation of PES-biodiversity schemes. It is claimed that the elements extracted from PES-biodiversity schemes must be used as a reference to guide the implementation of other PES schemes based on the recovery and maintenance of natural areas (e.g. water, carbon, environmental aesthetics conditions). Thus, the sustainability of PES schemes can be guaranteed over time. © 2019.","Biodiversity; Economic tool; Environmental management",,Article,"Final","",Scopus,2-s2.0-85082795875
"Nascimento N., Eleutério J., Costa H., Vinçon-Leite B., Mourão A., Faria D., Monte-Mór R.","35616225900;57194022002;56444910300;6602212011;6603980528;57217529020;12768107000;","Sustainable urban development through a blue and green network approach focusing the protection of water resources: The case of the Belo Horizonte Metropolitan Region, in Brazil",2019,"International Journal of Water","13","4",,"311","332",,1,"10.1504/IJW.2019.106045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082742614&doi=10.1504%2fIJW.2019.106045&partnerID=40&md5=3811468014adc2740e492296966c8d2d","School of Engineering, Federal University of Minas Gerais, Av. Antônio Carlos, 6627, Bl. 1, Belo Horizonte, MG, 31270-901, Brazil; Institute of Geosciences, Federal University of Minas Gerais, Av. Antônio Carlos, 6627, Belo Horizonte, MG, 31270-901, Brazil; École des Ponts Paris Tech, Laboratoire Eau, Environnement et Systèmes Urbains, 6-8 avenue Blaise Pascal, Cité Descartes, Champs sur Marne, Marne-la-Vallée Cedex 2, 77455, France; Centre for Development and Regional Planning, Federal University of Minas Gerais, Av. Antônio Carlos, 6627, Belo Horizonte, MG, 31270-901, Brazil","Nascimento, N., School of Engineering, Federal University of Minas Gerais, Av. Antônio Carlos, 6627, Bl. 1, Belo Horizonte, MG, 31270-901, Brazil; Eleutério, J., School of Engineering, Federal University of Minas Gerais, Av. Antônio Carlos, 6627, Bl. 1, Belo Horizonte, MG, 31270-901, Brazil; Costa, H., Institute of Geosciences, Federal University of Minas Gerais, Av. Antônio Carlos, 6627, Belo Horizonte, MG, 31270-901, Brazil; Vinçon-Leite, B., École des Ponts Paris Tech, Laboratoire Eau, Environnement et Systèmes Urbains, 6-8 avenue Blaise Pascal, Cité Descartes, Champs sur Marne, Marne-la-Vallée Cedex 2, 77455, France; Mourão, A., Institute of Geosciences, Federal University of Minas Gerais, Av. Antônio Carlos, 6627, Belo Horizonte, MG, 31270-901, Brazil; Faria, D., Institute of Geosciences, Federal University of Minas Gerais, Av. Antônio Carlos, 6627, Belo Horizonte, MG, 31270-901, Brazil; Monte-Mór, R., Centre for Development and Regional Planning, Federal University of Minas Gerais, Av. Antônio Carlos, 6627, Belo Horizonte, MG, 31270-901, Brazil","This paper explores the potentialities offered by blue-green approaches to promote protection of water resources at metropolitan scale and to contribute to structuring territorial development. An on-going experience of regional planning and land use regulation in the Belo Horizonte Metropolitan Region (BHMR), in Brazil, is here a reference. With a population of 5.8 million inhabitants and territory of 10,000 km2, the BHMR offers a rich example of land use diversity that highlights the complexity of metropolitan territorial planning and management. In the first part of the paper, blue-green concepts are developed emphasising their role for the protection of water resources. This is followed by the methods and results of applying these concepts to the BHMR. We then evaluate whether blue-green approaches are sufficient to protect water resources and discuss the potentialities of additional tools such as the payment for environmental services with the same objectives. Copyright © 2019 Inderscience Enterprises Ltd.","Blue and green approach; Drinking water supply; Metropolitan areas; Metropolitan development planning; Metropolitan zoning; Participatory planning; Participatory process; Sources of drinking water; green corridors; Brazil; Water resource protection","Land use; Potable water; Regional planning; Urban growth; Water supply; Blue and green approach; Development planning; Metropolitan area; Participatory planning; Participatory process; Water resource protection; Water resources; complexity; drinking water; land use change; metropolitan area; participatory approach; sustainability; territorial planning; urban development; water resource; Belo Horizonte; Brazil; Minas Gerais",Article,"Final","",Scopus,2-s2.0-85082742614
"Sobrinho R.P., Garcia J.R., Maia A.G., Romeiro A.R.","57208746394;36337892900;24503743000;23568707200;","Tecnologia blockchain: Inovação em pagamentos por serviços ambientais",2019,"Estudos Avancados","33","95",,"151","175",,1,"10.1590/s0103-4014.2019.3395.0010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065660381&doi=10.1590%2fs0103-4014.2019.3395.0010&partnerID=40&md5=68160d83bd1f675d5e0f37c844c86eae","Instituto de Economia da Universidade Estadual de Campinas, Campinas, São Paulo, Brazil; Departamento de Economia, Universidade Federal do Paraná, Curitiba, Paraná, Brazil; Núcleo de Economia Agrícola e Ambiental, Universidade Estadual de Campinas, Campinas, São Paulo, Brazil","Sobrinho, R.P., Instituto de Economia da Universidade Estadual de Campinas, Campinas, São Paulo, Brazil; Garcia, J.R., Departamento de Economia, Universidade Federal do Paraná, Curitiba, Paraná, Brazil; Maia, A.G., Núcleo de Economia Agrícola e Ambiental, Universidade Estadual de Campinas, Campinas, São Paulo, Brazil; Romeiro, A.R., Instituto de Economia da Universidade Estadual de Campinas, Campinas, São Paulo, Brazil","Socioecological problems are complex and multidimensional, involving at least an environmental, socio, economic, political and institutional dimensions. Problems related to multiple uses of water resources, watershed revitalization and urban river recovery have placed new challenges on society and require innovative solutions. Proposed solutions, such as payment for ecosystem services (PES), aim to encourage people to adopt actions to solve specific issues in exchange for economic incentives. These solutions have limitations related to continuity of actions after the economic incentives cease. Thus, the main goal of this paper is to introduce and discuss a proposal to manage the Jundiai River Watershed that includes the adoption of a complementary currency created with blockchain technology, the Aqua. The main purposes of this cryptocurrency arethe recovery of riparian forests in rural zones and environmental actions in urban areas. The cryptocurrency Aqua would act as a medium of exchange and circulate only within the network of establishments that accept it. Seeking to avoid the negative consequences of speculative actions, we recommend the Aqua is not convertible into Reais or other cryptocurrencies. © 2019 Instituto de Estudos Avancados da Universidade de Sao Paulo.","Blockchain technology; Cryptocurrency; Delegated proof of stake consensus mechanism (DPoS); Payment for Ecosystem Services (PSA)",,Article,"Final","",Scopus,2-s2.0-85065660381
"Chávez Michaelsen A., Perz S.G., Huamani Briceño L., Fernandez Menis R., Bejar Chura N., Moreno Santillan R., Díaz Salinas J., Brown I.F.","37014783900;7004599551;57193154829;57193160004;57193154916;57204554782;57193160465;8111881700;","Effects of drought on deforestation estimates from different classification methodologies: Implications for REDD+ and other payments for environmental services programs",2017,"Remote Sensing Applications: Society and Environment","5",,,"36","44",,1,"10.1016/j.rsase.2017.01.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85011269411&doi=10.1016%2fj.rsase.2017.01.003&partnerID=40&md5=f1883b305f6562d421b65de5f7931fc8","University of Florida, Center fo r Latin American Studies, 319 Grinter Hall, Gainesville, FL  32611, United States; University of Florida, Department of Sociology and Criminology & Law, Gainesville, FL, United States; Universidad Nacional Amazónica de Madre de Dios, Puerto Maldonado, Madre de Dios, Peru; Comisión Nacional de Investigación y Desarrollo Aeroespacial, Lima, Peru; Fuerza Aérea del Perú, Lima, Peru; Woods Hole Research Center, Woods Hole, MA, United States; Universidade Federal do Acre, Rio Branco, Acre, Brazil","Chávez Michaelsen, A., University of Florida, Center fo r Latin American Studies, 319 Grinter Hall, Gainesville, FL  32611, United States; Perz, S.G., University of Florida, Department of Sociology and Criminology & Law, Gainesville, FL, United States; Huamani Briceño, L., Universidad Nacional Amazónica de Madre de Dios, Puerto Maldonado, Madre de Dios, Peru; Fernandez Menis, R., Universidad Nacional Amazónica de Madre de Dios, Puerto Maldonado, Madre de Dios, Peru; Bejar Chura, N., Universidad Nacional Amazónica de Madre de Dios, Puerto Maldonado, Madre de Dios, Peru; Moreno Santillan, R., Comisión Nacional de Investigación y Desarrollo Aeroespacial, Lima, Peru; Díaz Salinas, J., Fuerza Aérea del Perú, Lima, Peru; Brown, I.F., Woods Hole Research Center, Woods Hole, MA, United States, Universidade Federal do Acre, Rio Branco, Acre, Brazil","Payments for ecosystem services (PES) programs depend on consistent environmental monitoring methodologies for measuring, reporting and verification. The case of carbon PES programs is instructive: land cover estimates are crucial for environmental monitoring efforts, but they require a consistent estimation method. Such consistency is however likely to be affected by climatic variability such as that seen during severe droughts. This raises questions as to whether distinct methodologies for land cover monitoring yield the same estimates of land- cover change over time in the presence of climatic variability. This study compares deforestation estimates from four methodologies during a normal year (2008) with those during a period of extreme drought (2010) in the Madre de Dios region of Peru in the Southwestern Amazon. The four methodologies compared are the automated classification with CLASlite 2.2, Tasseled Cap classification with ERDAS Imagine 9.2, Bhattacharya classification with SPRING 5.1, and Spectral Angle Mapper classification with ENVI 4.7. The results show differences in the forest and non-forest estimates derived from using ERDAS and CLASlite compared with those from using the SPRING and ENVI. These findings have implications for forest monitoring efforts for PES programs such as Reduced Emissions from Deforestation and Forest Degradation (REDD+) in the context of climate change. © 2017 Elsevier B.V.","Amazon; Climate variability; Forest monitoring; Land Use land cover change",,Article,"Final","",Scopus,2-s2.0-85011269411
"Canada C.B.S., Mariottoni C.A.","57191259090;57191258670;","Analysis of multicriteria in the practice of environmental services in areas of watersheds",2016,"Journal of Sustainable Forestry","35","7",,"500","514",,1,"10.1080/10549811.2016.1225511","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988432793&doi=10.1080%2f10549811.2016.1225511&partnerID=40&md5=e5380c55d9c4a1deb53d9b97edbe9b29","GPESE/DRH/FEC/NIPE/UNICAMP, Campinas, Brazil","Canada, C.B.S., GPESE/DRH/FEC/NIPE/UNICAMP, Campinas, Brazil; Mariottoni, C.A., GPESE/DRH/FEC/NIPE/UNICAMP, Campinas, Brazil","Watersheds have become strategically important for the survival of cities due to the accelerated increase in both the demand and the rapid deterioration of the water intended to supply the urban populations. The present article aims to present the applicability of the “multicriteria method” to help the Government of the State of Sao Paulo, Brazil organize payment for environmental services for watershed protection using the “Delphi method” as the principal methodology. This article consists of a review of the literature and a case study of the Mina d’Água program from the State Secretary of the Environment (within the Government of São Paulo) in partnership with other municipalities (city by river basin). The article also covers the advent of pertinent climate change laws. The positive results in the use of the Delphi method represent a fruitful tool to facilitate communication between groups of experts and the public, encouraging better judgment and a more consistent decision-making process. © 2016 Taylor & Francis.","Areas of water sources; environmental services; multicriteria analysis","Climate change; Decision making; Decision making process; Environmental services; Multi Criteria Analysis; Multi-criteria method; Payment for environmental services; Sao Paulo , Brazil; Water source; Watershed protection; Watersheds; decision making; multicriteria analysis; urban area; water resource; water supply; watershed; Brazil; Sao Paulo [Brazil]",Article,"Final","",Scopus,2-s2.0-84988432793
"Corrêa C.J.P., Tonello K.C., Franco F.S.","57191900889;15833291900;57191895898;","Hydrological and environmental analysis of the pirajibu-mirim watershed, Sorocaba, SP, Brazil [Análise hidroambiental da microbacia do Pirajibu-Mirim, Sorocaba, SP, Brasil]",2016,"Revista Ambiente e Agua","11","4",,"943","953",,1,"10.4136/ambi-agua.1969","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994625455&doi=10.4136%2fambi-agua.1969&partnerID=40&md5=067d956f3d8b4f70a7f45619b099822c","Departamento de Ciências Ambientais, Universidade Federal de São Carlos (UFSCar), Sorocaba, SP, Brazil","Corrêa, C.J.P., Departamento de Ciências Ambientais, Universidade Federal de São Carlos (UFSCar), Sorocaba, SP, Brazil; Tonello, K.C., Departamento de Ciências Ambientais, Universidade Federal de São Carlos (UFSCar), Sorocaba, SP, Brazil; Franco, F.S., Departamento de Ciências Ambientais, Universidade Federal de São Carlos (UFSCar), Sorocaba, SP, Brazil","The watershed of the Pirajibu-Mirim River, in Sorocaba-SP, contributes to production and the municipal water supply, and is located in a high-priority region for the implementation of a Payment for Environmental Services (PES) program. In this context, this study aimed to evaluate the conservation of its water springs and environmental compliance with the legislation of Permanent Preservation Areas (PPAs). A macroscopic diagnosis of the water springs was therefore made in the field in order to subsequently classify their condition. The assessment of environmental compliance with the PPAs was performed with the aid of RapidEye (2014) satellite images and the Quantum GIS 1.6 program. The results indicated that water quality stands out positively, while the land use and occupation of the springs areas showed negative results. No water spring is located in protected areas and only one was found on an agricultural farm; none had signs indicating its presence. Most of them show evidence of human disturbance, such as degradation of vegetation and garbage dumping. The evaluation of environmental compliance demonstrated that 30.7% of the PPAs lack adequate vegetative cover, and thus may potentially be included in an intervention program for recovery due to degradation. The profile analysis of the properties that have water springs indicated the predominance of lands without any commercial use that included recreational country houses. The work indicated some environmental and socioeconomic characteristics of the watershed that can support public policy for the conservation of water resources in the region, if considered in the establishment of a PSA program. © 2016, Institute for Environmental Research in Hydrographic Basins (IPABHi). All rights reserved.","Environmental compliance; Payment for ecosystem services; Springs; Watershed management",,Article,"Final","",Scopus,2-s2.0-84994625455
"Favaro A.K.M.I., Rossin A.C.","56160151700;56160116300;","Payments for environmental services that contribute to environmental health, a local level analysis [Pagamento por serviços ambientais contribuindo para a saúde ambiental, uma análise em nível local]",2014,"Saude e Sociedade","23","1",,"216","226",,1,"10.1590/S0104-12902014000100017","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900547319&doi=10.1590%2fS0104-12902014000100017&partnerID=40&md5=6d0f3a79749434f837252efb007edd15","USP, Av. Dr. Arnaldo, 715, Consolacão, CEP 01246-904, São Paulo, SP, Brazil; Universidade de São Paulo, Departamento de Saúde Ambiental, Av. Dr. Arnaldo, 715, Consolacão, CEP 01246-904, São Paulo, SP, Brazil","Favaro, A.K.M.I., USP, Av. Dr. Arnaldo, 715, Consolacão, CEP 01246-904, São Paulo, SP, Brazil; Rossin, A.C., Universidade de São Paulo, Departamento de Saúde Ambiental, Av. Dr. Arnaldo, 715, Consolacão, CEP 01246-904, São Paulo, SP, Brazil","This paper aims to propose that the mechanisms for Payments of Environmental Services are used as a contribution to the improvement of environmental health, based on the local level. It seeks to discuss the relationship between the changes brought by these mechanisms and the improvement of environmental health. The studied area was the city of Rio Grande da Serra, São Paulo state, with 100% of its territory in watershed protection area, population in high social vulnerability and in the Metropolitan Region of São Paulo, Brazil. The study was conducted in three steps: i) a literature review; ii) data collection; e iii) analysis of data. The information about the local environmental health was provided by the Municipality of Rio Grande da Serra and collected at CETESB, IBGE and DATASUS, being later analyzed in order to define a group of environmental services capable of contributing to the improvement of environmental health at the local level. It concludes that the environmental services with greater capacity to improve environmental health are climate regulation, followed by erosion control and sediment retention, supply of water and recreational and cultural goods.","Environmental health; Local level; Payments for environmental services",,Article,"Final","",Scopus,2-s2.0-84900547319
"Landers J.N., de Freitas P.L., de Oliveira M.C., Neto S.P.S., Ralisch R., Kueneman E.A.","57188627899;7003780024;57375032900;57374924400;6508291455;57210792856;","Next steps for conservation agriculture",2021,"Agronomy","11","12","2496","","",,,"10.3390/agronomy11122496","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121305097&doi=10.3390%2fagronomy11122496&partnerID=40&md5=271e36065b823edfaf03ba15c61f6797","Brazilian No-Till System Farmers’ Federation (FEBRAPDP), Honorary Director, Brasília, 71680-368, Brazil; Brazilian Agricultural Research Corporation (Embrapa), Embrapa Solos, Rio de Janeiro, 22460-000, Brazil; Ministry of Agriculture, Sustainable Production and Irrigation Department, Soil and Water Conservation, Brasília, 70043-900, Brazil; Brazilian Agricultural Research Corporation (Embrapa), Embrapa Cerrados, Brasília, 70770-901, Brazil; Agronomy Department, State University of Londrina (UEL), Londrina, 86057-970, Brazil; Kueneman Consultancy, West Sacramento, CA  95691, United States","Landers, J.N., Brazilian No-Till System Farmers’ Federation (FEBRAPDP), Honorary Director, Brasília, 71680-368, Brazil; de Freitas, P.L., Brazilian Agricultural Research Corporation (Embrapa), Embrapa Solos, Rio de Janeiro, 22460-000, Brazil; de Oliveira, M.C., Ministry of Agriculture, Sustainable Production and Irrigation Department, Soil and Water Conservation, Brasília, 70043-900, Brazil; Neto, S.P.S., Brazilian Agricultural Research Corporation (Embrapa), Embrapa Cerrados, Brasília, 70770-901, Brazil; Ralisch, R., Agronomy Department, State University of Londrina (UEL), Londrina, 86057-970, Brazil; Kueneman, E.A., Kueneman Consultancy, West Sacramento, CA  95691, United States","The origins, history, and recent advances in Conservation Agriculture (CA) are reported. CA is now practiced worldwide on some 200 million hectares, important for mitigating climate change and ensuring food security. Its bedrock is Zero Tillage (ZT) with crop rotation and retention of crop residues. CA approaches Or-19 ganic Agriculture (OA) when coupled to biological control providing opportunity for OA to become truly sustainable. Ley Farming (LF) and agroforestry with ZT are important for carbon sequestration and land use intensification. Hidden cost: each ton of carbon immobilizes 83 kg of N, 29 kg of P, and 14 kg of S. Industry-backed Regenerative Agriculture (RA) variants have no scientific definition, but generally adopt CA. Sustainable, profitable, and compatible new technologies are emerging and CA needs to embrace them to present a holistic, sustainable package to the farmer. How? A single definition for agricultural sustainability via a multi-stakeholder world congress would standardize certification and de-confuse the market. RA describes exactly what CA does for soil health and all farmers need to unite around a new “Combined Regenerative Agriculture” (CRA) to lobby for adequate payments for environmental services. Expansion of CA is critical for world sustainability. Many gaps and constraints exist, especially for smallholders. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Land use intensification; No-tillage farming; Off-farm benefits; Organic agriculture; Payments for environmental services; Regenerative agriculture; Soil biology; Soil disturbance; Zero tillage",,Article,"Final","",Scopus,2-s2.0-85121305097
"Martins M.S.M., Valera C.A., Zanata M., Santos R.M.B., Abdala V.L., Pacheco F.A.L., Fernandes L.F.S., Pissarra T.C.T.","57349098600;57188852625;53880942100;56394726600;36241439800;7004892609;57221471184;8669964500;","Potential impacts of land use changes on water resources in a tropical headwater catchment",2021,"Water (Switzerland)","13","22","3249","","",,,"10.3390/w13223249","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119579757&doi=10.3390%2fw13223249&partnerID=40&md5=3a9e3d54d47445b6dccc39b69dcc4443","Curso de Pós-Graduação em Agronomia, Programa Ciência do Solo, Faculdade de Ciências Agrárias e Veterinárias, Universidade Estadual Paulista (UNESP), Via de Acesso Prof. Paulo Donato Castellane s/n, Jaboticabal, SP, 14884-900, Brazil; PolUS—Grupo de Política de Uso do Solo, Universidade Estadual Paulista (UNESP), Via de Acesso Prof. Paulo Donato Castellane s/n, Jaboticabal, SP, 14884-900, Brazil; Instituto Federal de Educação, Ciência e Tecnologia do Triângulo Mineiro—Campus Uberaba, Rua João Batista Ribeiro 4000, Bairro Distrito Industrial II, Uberaba, MG, 38064-790, Brazil; Promotoria de Justiça do Ministério Público do Estado de Minas Gerais, Uberaba, MG, 38000-000, Brazil; Instituto de Pesquisas Ambientais do Estado de São Paulo, Rodovia Cândido Portinari, km 347, Horto Florestal, Batatais, SP, 14300-000, Brazil; Centre for the Research and Technology of Agro-Environment and Biological Sciences, University of Trás-os-Montes and Alto Douro, Vila Real, 5001-801, Portugal; Chemistry Research Centre, University of Trás-os-Montes and Alto Douro, Vila Real, 5001-801, Portugal","Martins, M.S.M., Curso de Pós-Graduação em Agronomia, Programa Ciência do Solo, Faculdade de Ciências Agrárias e Veterinárias, Universidade Estadual Paulista (UNESP), Via de Acesso Prof. Paulo Donato Castellane s/n, Jaboticabal, SP, 14884-900, Brazil, PolUS—Grupo de Política de Uso do Solo, Universidade Estadual Paulista (UNESP), Via de Acesso Prof. Paulo Donato Castellane s/n, Jaboticabal, SP, 14884-900, Brazil, Instituto Federal de Educação, Ciência e Tecnologia do Triângulo Mineiro—Campus Uberaba, Rua João Batista Ribeiro 4000, Bairro Distrito Industrial II, Uberaba, MG, 38064-790, Brazil; Valera, C.A., Curso de Pós-Graduação em Agronomia, Programa Ciência do Solo, Faculdade de Ciências Agrárias e Veterinárias, Universidade Estadual Paulista (UNESP), Via de Acesso Prof. Paulo Donato Castellane s/n, Jaboticabal, SP, 14884-900, Brazil, PolUS—Grupo de Política de Uso do Solo, Universidade Estadual Paulista (UNESP), Via de Acesso Prof. Paulo Donato Castellane s/n, Jaboticabal, SP, 14884-900, Brazil, Promotoria de Justiça do Ministério Público do Estado de Minas Gerais, Uberaba, MG, 38000-000, Brazil; Zanata, M., PolUS—Grupo de Política de Uso do Solo, Universidade Estadual Paulista (UNESP), Via de Acesso Prof. Paulo Donato Castellane s/n, Jaboticabal, SP, 14884-900, Brazil, Instituto de Pesquisas Ambientais do Estado de São Paulo, Rodovia Cândido Portinari, km 347, Horto Florestal, Batatais, SP, 14300-000, Brazil; Santos, R.M.B., Centre for the Research and Technology of Agro-Environment and Biological Sciences, University of Trás-os-Montes and Alto Douro, Vila Real, 5001-801, Portugal; Abdala, V.L., PolUS—Grupo de Política de Uso do Solo, Universidade Estadual Paulista (UNESP), Via de Acesso Prof. Paulo Donato Castellane s/n, Jaboticabal, SP, 14884-900, Brazil, Instituto Federal de Educação, Ciência e Tecnologia do Triângulo Mineiro—Campus Uberaba, Rua João Batista Ribeiro 4000, Bairro Distrito Industrial II, Uberaba, MG, 38064-790, Brazil; Pacheco, F.A.L., PolUS—Grupo de Política de Uso do Solo, Universidade Estadual Paulista (UNESP), Via de Acesso Prof. Paulo Donato Castellane s/n, Jaboticabal, SP, 14884-900, Brazil, Chemistry Research Centre, University of Trás-os-Montes and Alto Douro, Vila Real, 5001-801, Portugal; Fernandes, L.F.S., PolUS—Grupo de Política de Uso do Solo, Universidade Estadual Paulista (UNESP), Via de Acesso Prof. Paulo Donato Castellane s/n, Jaboticabal, SP, 14884-900, Brazil, Centre for the Research and Technology of Agro-Environment and Biological Sciences, University of Trás-os-Montes and Alto Douro, Vila Real, 5001-801, Portugal; Pissarra, T.C.T., Curso de Pós-Graduação em Agronomia, Programa Ciência do Solo, Faculdade de Ciências Agrárias e Veterinárias, Universidade Estadual Paulista (UNESP), Via de Acesso Prof. Paulo Donato Castellane s/n, Jaboticabal, SP, 14884-900, Brazil, PolUS—Grupo de Política de Uso do Solo, Universidade Estadual Paulista (UNESP), Via de Acesso Prof. Paulo Donato Castellane s/n, Jaboticabal, SP, 14884-900, Brazil","The main objective of this study was to investigate the relationships between land use and future scenarios of land changes on water runoff and groundwater storage in an Environmental Protection Area (EPAs) watershed. The methodology was based on the application of the Soil and Water Assessment Tool (SWAT) hydrological modelling to investigate flow simulations in current land use and in two future scenarios (forest and pasture). The performance of goodness-of-fit indicators in the calibration (NSE = 0.82, R2 = 0.85, PBIAS = 11.9% and RSR = 0.42) and validation (NSE = 0.70, R2 = 0.72, PBIAS = −4% and RSR = 0.55) was classified as good and very good, respectively. The model accurately reproduced the inter-annual distribution of rainfall. The spatial distribution of average annual surface flow, lateral flow, and groundwater flow were different between sub-basins. The future scenario on land use change to forest (FRSE) and pasture (PAST) differed during the year, with greater changes on rainy and dry seasons. FRSE increase of 64.5% in area led to decreased surface runoff, total runoff, and soil water; and increased lateral flow, groundwater, and evapotranspiration. The effect of the natural vegetation cover on soil moisture content is still unclear. The hydrological model indicated the main areas of optimal spatial water flow. Considering economic values, those areas should encourage the development of government policies based on incentive platforms that can improve environmental soil and water sustainability by establishing payment for environmental services (PES). © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","Flow; Land change; Land use; SWAT model; Water discharge","Catchments; Economics; Forestry; Groundwater; Groundwater flow; Groundwater resources; Runoff; Soil moisture; Sustainable development; Tropics; Water conservation; Flow; Land changes; Landuse change; Lateral Flow; Potential impacts; Soil and water assessment tool model; Soil and Water assessment tools; Tool models; Water discharges; Waters resources; Land use; catchment; detection method; evapotranspiration; groundwater flow; headwater; hydrological modeling; land use; land use change; runoff; soil moisture; spatial distribution; vegetation cover; water resource",Article,"Final","",Scopus,2-s2.0-85119579757
"Siqueira P.P., Oliveira P.T.S., Bressiani D., Meira Neto A.A., Rodrigues D.B.B.","57218898865;35748383000;56708843000;57191375974;35748669200;","Effects of climate and land cover changes on water availability in a Brazilian Cerrado basin",2021,"Journal of Hydrology: Regional Studies","37",,"100931","","",,,"10.1016/j.ejrh.2021.100931","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115948723&doi=10.1016%2fj.ejrh.2021.100931&partnerID=40&md5=406033be5759b85417ebeb85c50739af","Federal University of Mato Grosso do Sul, CxP. 549, Campo Grande, MS  79070-900, Brazil; Federal University of Pelotas, Pelotas, RS  96010-610, Brazil; Department of Hydrology and Atmospheric Sciences, University of Arizona, Tucson, AZ  85719, United States","Siqueira, P.P., Federal University of Mato Grosso do Sul, CxP. 549, Campo Grande, MS  79070-900, Brazil; Oliveira, P.T.S., Federal University of Mato Grosso do Sul, CxP. 549, Campo Grande, MS  79070-900, Brazil; Bressiani, D., Federal University of Pelotas, Pelotas, RS  96010-610, Brazil; Meira Neto, A.A., Department of Hydrology and Atmospheric Sciences, University of Arizona, Tucson, AZ  85719, United States; Rodrigues, D.B.B., Federal University of Mato Grosso do Sul, CxP. 549, Campo Grande, MS  79070-900, Brazil","The effects of riparian restoration and soil and water conservation practices on catchment hydrology are still unclear. Here, we assess whether a positive change in soil and water conservation practices and riparian reforestation will affect the water availability and boost resilience in a Brazilian Cerrado basin under climate change scenarios. This study was developed in the Três Marias basin (50.600 km²) located in southeastern Brazil. First, we calibrated (1992–2005) and evaluated (2006–2012) the Soil and Water Assessment Tool (SWAT) model. Then, we created a land cover and land use change (LCLUC) scenario that considers improving soil and water conservation practices and the reforestation of riparian zones, following the recommendations of the Brazilian Payment for Ecosystem Services (PES). We also used the trend SSP2-4.5 and the fossil-based economy SSP5-8.5 (Shared Socioeconomic Pathways) climate scenarios data from the Coupled Model Intercomparison Project Phase 6 (CMIP6) project for the period of 2015–2100. Along with a decrease of 5 %–15 % in precipitation in the projected period, an increase of 7 %–15 % in forest areas due to the LCLUC scenarios generated an increase in evapotranspiration values up to 38 %, resulting in a decrease of surface runoff and baseflow. Riparian reforestation and soil and water conservation practices did not necessarily enhance water availability on the simulations performed, as expected by many PES. © 2021 The Author(s)","Climate change; Food-energy-water nexus; Land cover change; Reforestation; Water security",,Article,"Final","",Scopus,2-s2.0-85115948723
